,artist,album,track_name,track_id,duration_ms,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness
37,The Weeknd,Dawn FM,Sacrifice,1nH2PkJL1XoUq8oE6tBZoU,188918,0.735,0.905,0.795,122.0,-6.523,0.113,3.18e-05,0.0678,0.0296
38,illuminati hotties,Let Me Do One More,u v v p (feat. Buck Meek),3WjjfLHUHM2an4j5NkjGUa,284810,0.327,0.354,0.637,129.976,-6.624,0.0359,0.00116,0.104,0.00211
39,Kate Bush,Hounds of Love (2018 Remaster),Cloudbusting - 2018 Remaster,0cuMpt0w9ahbhJl0R2fbkY,309973,0.712,0.807,0.281,112.787,-15.497,0.0332,3.66e-05,0.0797,0.638
40,The Avalanches,We Will Always Love You,Take Care In Your Dreaming,1t0YL0DwYHhbW5P4BvV7j1,300107,0.611,0.329,0.822,130.286,-7.019,0.0462,0.00129,0.138,0.509
41,Rex Orange County,WHO CARES?,"OPEN A WINDOW (feat. Tyler, The Creator)",1TDeDFUYHjZKLsO6bzoVg1,218587,0.541,0.548,0.607,79.974,-7.174,0.0482,0,0.193,0.282
42,Kanye West,My Beautiful Dark Twisted Fantasy,Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,351947,0.435,0.206,0.76,80.082,-4.935,0.0721,0,0.158,0.0175
43,The Japanese House,Maybe You're the Reason,Maybe You're the Reason,7xKjdvYaJ1tvwNXRTAZs78,218936,0.621,0.395,0.762,95.014,-6.376,0.0328,2.71e-06,0.302,0.106
44,Joji,YUKON (INTERLUDE),YUKON (INTERLUDE),6c1yUgFlhUHLAM9hSDkVBq,141093,0.736,0.0728,0.71,82.482,-8.497,0.091,0.0351,0.395,0.383
45,Caveboy,Caveboy,Something Like Summer,2ghUCNlKImZjdJSRlfz2wm,272933,0.462,0.309,0.888,124.976,-6.31,0.0473,0.136,0.109,0.00444
46,Angel Olsen,MY WOMAN,Those Were the Days,67giNTAhvHyTPRAFVD5iit,259507,0.387,0.259,0.332,142.404,-11.996,0.0324,0.00242,0.0795,0.657
47,Denzel Curry,Melt My Eyez See Your Future,X-Wing,41X9qar6SruZOPLIV7sgUw,176000,0.787,0.424,0.675,119.988,-7.629,0.136,0,0.695,0.109
48,Andrew Bird,Are You Serious,Roma Fade,5fMZ4cDsfhxR7gnFdtrWCy,243120,0.594,0.76,0.689,138.4,-8.395,0.0393,0.0173,0.0869,0.302
49,Faye Webster,I Know I'm Funny haha,In A Good Way,2VYnlKxB8jpbCeLUjQsebc,224680,0.587,0.302,0.286,71.123,-8.839,0.0315,0.0288,0.214,0.185
50,Toro y Moi,MAHAL,Magazine,0HFy9wgmuePUSfwmjqhA6Y,191525,0.629,0.534,0.763,120.194,-6.796,0.127,6.01e-05,0.106,0.291
51,Perfume Genius,Set My Heart On Fire Immediately,Without You,2sLkJQNpMoOhxmTO6U1scK,155547,0.649,0.831,0.755,133.516,-5.33,0.0289,0.00699,0.346,0.0669
52,Taylor Swift,Daylight (Live From Paris),Daylight - Live From Paris,7ryS0xBZNYjQqql34GCkDp,262320,0.49,0.217,0.228,75.858,-10.504,0.0361,0,0.733,0.794
53,FKA twigs,CAPRISONGS,meta angel,6EeuY84I1Q3UJvpPN6iSzw,259467,0.568,0.243,0.369,134.789,-8.758,0.127,1.77e-05,0.168,0.81
54,Denzel Curry,ZUU,WISH FEAT. KIDDO MARV,0shSP8DgseLewHgAiMC4UL,192013,0.655,0.622,0.766,95.017,-6.746,0.0736,0,0.425,0.234
55,Men I Trust,Numb,Numb,6Ijmj8Z0L31hCp5pLZnT5U,219340,0.783,0.65,0.303,138.816,-14.393,0.0527,0.945,0.109,0.811
